index,shannon,faith_pd,observed_otus,input-com,day,compartment,genotype,input-com_day_compartment,input-com_day_compartment_genotype,replicate
Regular-endo-cad-1,2.743683804,8.226748441,29,AtMix,D5,endosphere,cad1,AtMix_D5_endosphere,AtMix_D5_endosphere_cad1,1
Regular-endo-cad-10,1.526449294,6.819457839,19,AtMix,D5,endosphere,cad1,AtMix_D5_endosphere,AtMix_D5_endosphere_cad1,10
Regular-endo-cad-11,2.628745746,8.047302858,28,AtMix,D5,endosphere,cad1,AtMix_D5_endosphere,AtMix_D5_endosphere_cad1,11
Regular-endo-cad-12,2.585203339,6.896706215,15,AtMix,D5,endosphere,cad1,AtMix_D5_endosphere,AtMix_D5_endosphere_cad1,12
Regular-endo-cad-13,2.678245365,8.166204104,30,AtMix,D5,endosphere,cad1,AtMix_D5_endosphere,AtMix_D5_endosphere_cad1,13
Regular-endo-cad-14,2.670602169,8.7108923,29,AtMix,D5,endosphere,cad1,AtMix_D5_endosphere,AtMix_D5_endosphere_cad1,14
Regular-endo-cad-15,2.654350067,7.248767741,21,AtMix,D5,endosphere,cad1,AtMix_D5_endosphere,AtMix_D5_endosphere_cad1,15
Regular-endo-cad-16,3.037468145,9.312681143,39,AtMix,D5,endosphere,cad1,AtMix_D5_endosphere,AtMix_D5_endosphere_cad1,16
Regular-endo-cad-2,2.440715222,8.581244787,32,AtMix,D5,endosphere,cad1,AtMix_D5_endosphere,AtMix_D5_endosphere_cad1,2
Regular-endo-cad-3,2.524051385,6.651406169,21,AtMix,D5,endosphere,cad1,AtMix_D5_endosphere,AtMix_D5_endosphere_cad1,3
Regular-endo-cad-4,2.501804142,6.728680125,19,AtMix,D5,endosphere,cad1,AtMix_D5_endosphere,AtMix_D5_endosphere_cad1,4
Regular-endo-cad-5,2.677683615,9.378307825,43,AtMix,D5,endosphere,cad1,AtMix_D5_endosphere,AtMix_D5_endosphere_cad1,5
Regular-endo-cad-6,2.135830497,7.797903468,27,AtMix,D5,endosphere,cad1,AtMix_D5_endosphere,AtMix_D5_endosphere_cad1,6
Regular-endo-cad-7,2.600155763,7.548406319,21,AtMix,D5,endosphere,cad1,AtMix_D5_endosphere,AtMix_D5_endosphere_cad1,7
Regular-endo-cad-8,2.73308016,9.072928616,41,AtMix,D5,endosphere,cad1,AtMix_D5_endosphere,AtMix_D5_endosphere_cad1,8
Regular-endo-cad-9,2.582952098,7.542346887,26,AtMix,D5,endosphere,cad1,AtMix_D5_endosphere,AtMix_D5_endosphere_cad1,9
Regular-endo-Col-1,1.589955904,9.064967976,51,AtMix,D5,endosphere,Col-0,AtMix_D5_endosphere,AtMix_D5_endosphere_Col-0,1
Regular-endo-Col-10,4.593862063,11.56879635,89,AtMix,D5,endosphere,Col-0,AtMix_D5_endosphere,AtMix_D5_endosphere_Col-0,10
Regular-endo-Col-11,4.517199039,11.20350664,76,AtMix,D5,endosphere,Col-0,AtMix_D5_endosphere,AtMix_D5_endosphere_Col-0,11
Regular-endo-Col-12,3.915329333,12.02725504,80,AtMix,D5,endosphere,Col-0,AtMix_D5_endosphere,AtMix_D5_endosphere_Col-0,12
Regular-endo-Col-13,4.329635669,10.38084802,58,AtMix,D5,endosphere,Col-0,AtMix_D5_endosphere,AtMix_D5_endosphere_Col-0,13
Regular-endo-Col-14,4.565582232,11.59971092,79,AtMix,D5,endosphere,Col-0,AtMix_D5_endosphere,AtMix_D5_endosphere_Col-0,14
Regular-endo-Col-15,4.939576948,10.70988025,69,AtMix,D5,endosphere,Col-0,AtMix_D5_endosphere,AtMix_D5_endosphere_Col-0,15
Regular-endo-Col-16,3.944503845,12.2782402,78,AtMix,D5,endosphere,Col-0,AtMix_D5_endosphere,AtMix_D5_endosphere_Col-0,16
Regular-endo-Col-2,4.66407906,11.95116483,76,AtMix,D5,endosphere,Col-0,AtMix_D5_endosphere,AtMix_D5_endosphere_Col-0,2
Regular-endo-Col-3,4.293417814,12.88492425,99,AtMix,D5,endosphere,Col-0,AtMix_D5_endosphere,AtMix_D5_endosphere_Col-0,3
Regular-endo-Col-4,2.718012573,10.20088357,53,AtMix,D5,endosphere,Col-0,AtMix_D5_endosphere,AtMix_D5_endosphere_Col-0,4
Regular-endo-Col-5,4.580938363,12.6575061,95,AtMix,D5,endosphere,Col-0,AtMix_D5_endosphere,AtMix_D5_endosphere_Col-0,5
Regular-endo-Col-6,4.966018357,11.82990992,77,AtMix,D5,endosphere,Col-0,AtMix_D5_endosphere,AtMix_D5_endosphere_Col-0,6
Regular-endo-Col-7,3.622177669,10.05019458,58,AtMix,D5,endosphere,Col-0,AtMix_D5_endosphere,AtMix_D5_endosphere_Col-0,7
Regular-endo-Col-8,0.900682959,8.269468312,55,AtMix,D5,endosphere,Col-0,AtMix_D5_endosphere,AtMix_D5_endosphere_Col-0,8
Regular-endo-Col-9,4.362988907,11.03474464,78,AtMix,D5,endosphere,Col-0,AtMix_D5_endosphere,AtMix_D5_endosphere_Col-0,9
Regular-total-cad-1,2.881442417,10.59863623,66,AtMix,D5,total,cad1,AtMix_D5_total,AtMix_D5_total_cad1,1
Regular-total-cad-10,3.216338004,11.64756225,80,AtMix,D5,total,cad1,AtMix_D5_total,AtMix_D5_total_cad1,10
Regular-total-cad-11,3.99769977,13.56039947,106,AtMix,D5,total,cad1,AtMix_D5_total,AtMix_D5_total_cad1,11
Regular-total-cad-12,3.421752697,11.09560107,70,AtMix,D5,total,cad1,AtMix_D5_total,AtMix_D5_total_cad1,12
Regular-total-cad-13,3.751946006,11.84965191,81,AtMix,D5,total,cad1,AtMix_D5_total,AtMix_D5_total_cad1,13
Regular-total-cad-14,3.610464969,10.93458504,71,AtMix,D5,total,cad1,AtMix_D5_total,AtMix_D5_total_cad1,14
Regular-total-cad-15,3.403893384,10.53698997,73,AtMix,D5,total,cad1,AtMix_D5_total,AtMix_D5_total_cad1,15
Regular-total-cad-16,3.000978763,12.52591496,81,AtMix,D5,total,cad1,AtMix_D5_total,AtMix_D5_total_cad1,16
Regular-total-cad-2,3.002595648,10.64887325,73,AtMix,D5,total,cad1,AtMix_D5_total,AtMix_D5_total_cad1,2
Regular-total-cad-3,3.530733549,12.45474486,87,AtMix,D5,total,cad1,AtMix_D5_total,AtMix_D5_total_cad1,3
Regular-total-cad-4,2.834083305,11.86524502,78,AtMix,D5,total,cad1,AtMix_D5_total,AtMix_D5_total_cad1,4
Regular-total-cad-5,4.184138851,12.61091257,90,AtMix,D5,total,cad1,AtMix_D5_total,AtMix_D5_total_cad1,5
Regular-total-cad-6,2.243849825,10.77318817,57,AtMix,D5,total,cad1,AtMix_D5_total,AtMix_D5_total_cad1,6
Regular-total-cad-7,3.79468605,11.92002955,77,AtMix,D5,total,cad1,AtMix_D5_total,AtMix_D5_total_cad1,7
Regular-total-cad-8,3.020035479,11.89768458,89,AtMix,D5,total,cad1,AtMix_D5_total,AtMix_D5_total_cad1,8
Regular-total-cad-9,3.715992536,12.15345457,88,AtMix,D5,total,cad1,AtMix_D5_total,AtMix_D5_total_cad1,9
Regular-total-Col-1,1.70599279,10.38150969,60,AtMix,D5,total,Col-0,AtMix_D5_total,AtMix_D5_total_Col-0,1
Regular-total-Col-10,2.647715802,10.79853917,71,AtMix,D5,total,Col-0,AtMix_D5_total,AtMix_D5_total_Col-0,10
Regular-total-Col-11,2.804559343,10.75682751,69,AtMix,D5,total,Col-0,AtMix_D5_total,AtMix_D5_total_Col-0,11
Regular-total-Col-12,2.609261566,10.52292363,66,AtMix,D5,total,Col-0,AtMix_D5_total,AtMix_D5_total_Col-0,12
Regular-total-Col-13,3.123467585,10.70594673,67,AtMix,D5,total,Col-0,AtMix_D5_total,AtMix_D5_total_Col-0,13
Regular-total-Col-14,2.364844715,9.407613847,56,AtMix,D5,total,Col-0,AtMix_D5_total,AtMix_D5_total_Col-0,14
Regular-total-Col-15,3.234561742,11.0944703,67,AtMix,D5,total,Col-0,AtMix_D5_total,AtMix_D5_total_Col-0,15
Regular-total-Col-16,1.19694893,9.167598427,49,AtMix,D5,total,Col-0,AtMix_D5_total,AtMix_D5_total_Col-0,16
Regular-total-Col-2,1.372952348,9.81625218,54,AtMix,D5,total,Col-0,AtMix_D5_total,AtMix_D5_total_Col-0,2
Regular-total-Col-3,3.142604266,11.59516271,80,AtMix,D5,total,Col-0,AtMix_D5_total,AtMix_D5_total_Col-0,3
Regular-total-Col-4,3.195954788,12.19167695,90,AtMix,D5,total,Col-0,AtMix_D5_total,AtMix_D5_total_Col-0,4
Regular-total-Col-5,3.131471694,11.5960294,85,AtMix,D5,total,Col-0,AtMix_D5_total,AtMix_D5_total_Col-0,5
Regular-total-Col-6,2.463652233,10.77909887,69,AtMix,D5,total,Col-0,AtMix_D5_total,AtMix_D5_total_Col-0,6
Regular-total-Col-7,2.494304105,11.06939315,70,AtMix,D5,total,Col-0,AtMix_D5_total,AtMix_D5_total_Col-0,7
Regular-total-Col-8,3.266027829,11.72294873,86,AtMix,D5,total,Col-0,AtMix_D5_total,AtMix_D5_total_Col-0,8
Regular-total-Col-9,2.956570238,11.30150033,77,AtMix,D5,total,Col-0,AtMix_D5_total,AtMix_D5_total_Col-0,9
Syn-endo-cad-1,3.650394045,10.50614568,73,SynCom,D2,endosphere,cad1,SynCom_D2_endosphere,SynCom_D2_endosphere_cad1,1
Syn-endo-cad-10,2.374557613,9.563103947,51,SynCom,D2,endosphere,cad1,SynCom_D2_endosphere,SynCom_D2_endosphere_cad1,10
Syn-endo-cad-11,0.446875729,5.874901333,8,SynCom,D2,endosphere,cad1,SynCom_D2_endosphere,SynCom_D2_endosphere_cad1,11
Syn-endo-cad-12,2.308148137,9.452536519,47,SynCom,D2,endosphere,cad1,SynCom_D2_endosphere,SynCom_D2_endosphere_cad1,12
Syn-endo-cad-13,3.263271611,9.631673266,55,SynCom,D2,endosphere,cad1,SynCom_D2_endosphere,SynCom_D2_endosphere_cad1,13
Syn-endo-cad-14,1.523325352,7.737982456,29,SynCom,D2,endosphere,cad1,SynCom_D2_endosphere,SynCom_D2_endosphere_cad1,14
Syn-endo-cad-15,1.607155343,8.329942052,28,SynCom,D2,endosphere,cad1,SynCom_D2_endosphere,SynCom_D2_endosphere_cad1,15
Syn-endo-cad-16,0.51028865,6.718547342,13,SynCom,D2,endosphere,cad1,SynCom_D2_endosphere,SynCom_D2_endosphere_cad1,16
Syn-endo-cad-19,0.496575465,6.4311431,15,SynCom,D2,endosphere,cad1,SynCom_D2_endosphere,SynCom_D2_endosphere_cad1,17
Syn-endo-cad-2,0.362609631,7.394662842,20,SynCom,D2,endosphere,cad1,SynCom_D2_endosphere,SynCom_D2_endosphere_cad1,2
Syn-endo-cad-21,0.601998489,6.833992053,16,SynCom,D2,endosphere,cad1,SynCom_D2_endosphere,SynCom_D2_endosphere_cad1,18
Syn-endo-cad-23,2.23455224,8.887551995,38,SynCom,D2,endosphere,cad1,SynCom_D2_endosphere,SynCom_D2_endosphere_cad1,19
Syn-endo-cad-24,0.933034404,7.70602782,23,SynCom,D2,endosphere,cad1,SynCom_D2_endosphere,SynCom_D2_endosphere_cad1,20
Syn-endo-cad-3,1.425436062,7.899728598,28,SynCom,D2,endosphere,cad1,SynCom_D2_endosphere,SynCom_D2_endosphere_cad1,3
Syn-endo-cad-4,3.40231244,11.37045224,79,SynCom,D2,endosphere,cad1,SynCom_D2_endosphere,SynCom_D2_endosphere_cad1,4
Syn-endo-cad-5,3.649122433,10.70951709,76,SynCom,D2,endosphere,cad1,SynCom_D2_endosphere,SynCom_D2_endosphere_cad1,5
Syn-endo-cad-6,1.349391529,9.252192288,52,SynCom,D2,endosphere,cad1,SynCom_D2_endosphere,SynCom_D2_endosphere_cad1,6
Syn-endo-cad-7,1.699664255,9.474071932,56,SynCom,D2,endosphere,cad1,SynCom_D2_endosphere,SynCom_D2_endosphere_cad1,7
Syn-endo-cad-8,0.29617815,7.518153925,22,SynCom,D2,endosphere,cad1,SynCom_D2_endosphere,SynCom_D2_endosphere_cad1,8
Syn-endo-cad-9,1.938607809,10.35063468,65,SynCom,D2,endosphere,cad1,SynCom_D2_endosphere,SynCom_D2_endosphere_cad1,9
Syn-endo-Col-1,4.658962489,13.74008655,116,SynCom,D2,endosphere,Col-0,SynCom_D2_endosphere,SynCom_D2_endosphere_Col-0,1
Syn-endo-Col-10,3.905036443,11.14423062,61,SynCom,D2,endosphere,Col-0,SynCom_D2_endosphere,SynCom_D2_endosphere_Col-0,10
Syn-endo-Col-11,4.305940409,10.72516281,54,SynCom,D2,endosphere,Col-0,SynCom_D2_endosphere,SynCom_D2_endosphere_Col-0,11
Syn-endo-Col-12,4.016900341,11.31696174,62,SynCom,D2,endosphere,Col-0,SynCom_D2_endosphere,SynCom_D2_endosphere_Col-0,12
Syn-endo-Col-13,3.248794228,9.701471622,46,SynCom,D2,endosphere,Col-0,SynCom_D2_endosphere,SynCom_D2_endosphere_Col-0,13
Syn-endo-Col-14,3.024675677,10.9651314,59,SynCom,D2,endosphere,Col-0,SynCom_D2_endosphere,SynCom_D2_endosphere_Col-0,14
Syn-endo-Col-15,3.005491918,9.46844532,34,SynCom,D2,endosphere,Col-0,SynCom_D2_endosphere,SynCom_D2_endosphere_Col-0,15
Syn-endo-Col-16,3.70974829,10.62805397,53,SynCom,D2,endosphere,Col-0,SynCom_D2_endosphere,SynCom_D2_endosphere_Col-0,16
Syn-endo-Col-17,2.735354032,8.950886067,41,SynCom,D2,endosphere,Col-0,SynCom_D2_endosphere,SynCom_D2_endosphere_Col-0,17
Syn-endo-Col-18,3.879465071,9.194899708,43,SynCom,D2,endosphere,Col-0,SynCom_D2_endosphere,SynCom_D2_endosphere_Col-0,18
Syn-endo-Col-19,3.283294647,12.26046599,66,SynCom,D2,endosphere,Col-0,SynCom_D2_endosphere,SynCom_D2_endosphere_Col-0,19
Syn-endo-Col-2,4.6757822,16.00990695,85,SynCom,D2,endosphere,Col-0,SynCom_D2_endosphere,SynCom_D2_endosphere_Col-0,2
Syn-endo-Col-20,3.968434411,11.00986768,59,SynCom,D2,endosphere,Col-0,SynCom_D2_endosphere,SynCom_D2_endosphere_Col-0,20
Syn-endo-Col-3,4.609960041,11.21077756,80,SynCom,D2,endosphere,Col-0,SynCom_D2_endosphere,SynCom_D2_endosphere_Col-0,3
Syn-endo-Col-4,4.663552393,10.84728701,73,SynCom,D2,endosphere,Col-0,SynCom_D2_endosphere,SynCom_D2_endosphere_Col-0,4
Syn-endo-Col-5,4.034955151,10.51547044,59,SynCom,D2,endosphere,Col-0,SynCom_D2_endosphere,SynCom_D2_endosphere_Col-0,5
Syn-endo-Col-6,4.148152516,10.74944074,64,SynCom,D2,endosphere,Col-0,SynCom_D2_endosphere,SynCom_D2_endosphere_Col-0,6
Syn-endo-Col-7,3.049766934,10.4310618,53,SynCom,D2,endosphere,Col-0,SynCom_D2_endosphere,SynCom_D2_endosphere_Col-0,7
Syn-endo-Col-8,3.9613242,10.47517133,51,SynCom,D2,endosphere,Col-0,SynCom_D2_endosphere,SynCom_D2_endosphere_Col-0,8
Syn-endo-Col-9,2.080611349,10.23282651,45,SynCom,D2,endosphere,Col-0,SynCom_D2_endosphere,SynCom_D2_endosphere_Col-0,9
Syn-total-cad-1,3.310133932,10.04114121,59,SynCom,D2,total,cad1,SynCom_D2_total,SynCom_D2_total_cad1,1
Syn-total-cad-10,2.992759037,8.694379946,31,SynCom,D2,total,cad1,SynCom_D2_total,SynCom_D2_total_cad1,10
Syn-total-cad-11,2.832679889,8.597858523,33,SynCom,D2,total,cad1,SynCom_D2_total,SynCom_D2_total_cad1,11
Syn-total-cad-12,3.146791736,9.682582977,48,SynCom,D2,total,cad1,SynCom_D2_total,SynCom_D2_total_cad1,12
Syn-total-cad-13,3.030676518,8.996838799,43,SynCom,D2,total,cad1,SynCom_D2_total,SynCom_D2_total_cad1,13
Syn-total-cad-14,2.985201241,9.02711954,40,SynCom,D2,total,cad1,SynCom_D2_total,SynCom_D2_total_cad1,14
Syn-total-cad-15,3.427400228,9.55516903,44,SynCom,D2,total,cad1,SynCom_D2_total,SynCom_D2_total_cad1,15
Syn-total-cad-16,3.381223684,9.587481615,45,SynCom,D2,total,cad1,SynCom_D2_total,SynCom_D2_total_cad1,16
Syn-total-cad-17,3.154570518,10.69032649,57,SynCom,D2,total,cad1,SynCom_D2_total,SynCom_D2_total_cad1,17
Syn-total-cad-18,3.032028115,9.185229898,41,SynCom,D2,total,cad1,SynCom_D2_total,SynCom_D2_total_cad1,18
Syn-total-cad-19,3.365228003,9.424778837,42,SynCom,D2,total,cad1,SynCom_D2_total,SynCom_D2_total_cad1,19
Syn-total-cad-2,3.498933844,10.28122031,57,SynCom,D2,total,cad1,SynCom_D2_total,SynCom_D2_total_cad1,2
Syn-total-cad-20,3.516202091,10.66332742,58,SynCom,D2,total,cad1,SynCom_D2_total,SynCom_D2_total_cad1,20
Syn-total-cad-3,3.106412909,9.822923876,47,SynCom,D2,total,cad1,SynCom_D2_total,SynCom_D2_total_cad1,3
Syn-total-cad-4,2.641704405,8.925397947,42,SynCom,D2,total,cad1,SynCom_D2_total,SynCom_D2_total_cad1,4
Syn-total-cad-5,3.355479203,9.868067159,55,SynCom,D2,total,cad1,SynCom_D2_total,SynCom_D2_total_cad1,5
Syn-total-cad-6,3.151527761,10.26359421,46,SynCom,D2,total,cad1,SynCom_D2_total,SynCom_D2_total_cad1,6
Syn-total-cad-7,3.224770308,9.815455029,53,SynCom,D2,total,cad1,SynCom_D2_total,SynCom_D2_total_cad1,7
Syn-total-cad-8,3.713092416,9.293485877,40,SynCom,D2,total,cad1,SynCom_D2_total,SynCom_D2_total_cad1,8
Syn-total-cad-9,3.02761049,9.585190146,43,SynCom,D2,total,cad1,SynCom_D2_total,SynCom_D2_total_cad1,9
Syn-total-Col-1,3.787049671,10.6816535,63,SynCom,D2,total,Col-0,SynCom_D2_total,SynCom_D2_total_Col-0,1
Syn-total-Col-10,3.516200112,9.995238832,58,SynCom,D2,total,Col-0,SynCom_D2_total,SynCom_D2_total_Col-0,10
Syn-total-Col-11,3.548263545,10.28776172,55,SynCom,D2,total,Col-0,SynCom_D2_total,SynCom_D2_total_Col-0,11
Syn-total-Col-12,3.561454715,9.539632966,48,SynCom,D2,total,Col-0,SynCom_D2_total,SynCom_D2_total_Col-0,12
Syn-total-Col-13,3.779852773,11.1168564,65,SynCom,D2,total,Col-0,SynCom_D2_total,SynCom_D2_total_Col-0,13
Syn-total-Col-14,3.611602876,9.746912555,57,SynCom,D2,total,Col-0,SynCom_D2_total,SynCom_D2_total_Col-0,14
Syn-total-Col-15,3.784265799,10.26197665,50,SynCom,D2,total,Col-0,SynCom_D2_total,SynCom_D2_total_Col-0,15
Syn-total-Col-16,3.971684322,11.02433627,68,SynCom,D2,total,Col-0,SynCom_D2_total,SynCom_D2_total_Col-0,16
Syn-total-Col-17,4.147916376,10.53774007,64,SynCom,D2,total,Col-0,SynCom_D2_total,SynCom_D2_total_Col-0,17
Syn-total-Col-18,4.032597824,10.67868132,75,SynCom,D2,total,Col-0,SynCom_D2_total,SynCom_D2_total_Col-0,18
Syn-total-Col-19,3.789338899,11.64713184,74,SynCom,D2,total,Col-0,SynCom_D2_total,SynCom_D2_total_Col-0,19
Syn-total-Col-2,3.626029553,11.99605002,67,SynCom,D2,total,Col-0,SynCom_D2_total,SynCom_D2_total_Col-0,2
Syn-total-Col-20,3.135984044,10.66855068,54,SynCom,D2,total,Col-0,SynCom_D2_total,SynCom_D2_total_Col-0,20
Syn-total-Col-3,3.820907281,9.763534475,54,SynCom,D2,total,Col-0,SynCom_D2_total,SynCom_D2_total_Col-0,3
Syn-total-Col-4,3.772060698,10.44822654,65,SynCom,D2,total,Col-0,SynCom_D2_total,SynCom_D2_total_Col-0,4
Syn-total-Col-5,3.766453817,10.39344323,63,SynCom,D2,total,Col-0,SynCom_D2_total,SynCom_D2_total_Col-0,5
Syn-total-Col-6,3.669257816,10.58446275,59,SynCom,D2,total,Col-0,SynCom_D2_total,SynCom_D2_total_Col-0,6
Syn-total-Col-7,3.259963821,8.900733038,39,SynCom,D2,total,Col-0,SynCom_D2_total,SynCom_D2_total_Col-0,7
Syn-total-Col-8,3.388015508,9.557589376,50,SynCom,D2,total,Col-0,SynCom_D2_total,SynCom_D2_total_Col-0,8
Syn-total-Col-9,3.413326541,10.02665852,56,SynCom,D2,total,Col-0,SynCom_D2_total,SynCom_D2_total_Col-0,9
