sample_id,input_com,day,compartment,genotype,input_com_day_compartment,input_com_day_compartment_genotype,replicate
Regular_total_Col_1,AtMix,D5,total,Col0,AtMix_D5_total,AtMix_D5_total_Col-0,1
Regular_total_Col_2,AtMix,D5,total,Col0,AtMix_D5_total,AtMix_D5_total_Col-0,2
Regular_total_Col_3,AtMix,D5,total,Col0,AtMix_D5_total,AtMix_D5_total_Col-0,3
Regular_total_Col_4,AtMix,D5,total,Col0,AtMix_D5_total,AtMix_D5_total_Col-0,4
Regular_total_Col_5,AtMix,D5,total,Col0,AtMix_D5_total,AtMix_D5_total_Col-0,5
Regular_total_Col_6,AtMix,D5,total,Col0,AtMix_D5_total,AtMix_D5_total_Col-0,6
Regular_total_Col_7,AtMix,D5,total,Col0,AtMix_D5_total,AtMix_D5_total_Col-0,7
Regular_total_Col_8,AtMix,D5,total,Col0,AtMix_D5_total,AtMix_D5_total_Col-0,8
Regular_total_Col_9,AtMix,D5,total,Col0,AtMix_D5_total,AtMix_D5_total_Col-0,9
Regular_total_Col_10,AtMix,D5,total,Col0,AtMix_D5_total,AtMix_D5_total_Col-0,10
Regular_total_Col_11,AtMix,D5,total,Col0,AtMix_D5_total,AtMix_D5_total_Col-0,11
Regular_total_Col_12,AtMix,D5,total,Col0,AtMix_D5_total,AtMix_D5_total_Col-0,12
Regular_total_Col_13,AtMix,D5,total,Col0,AtMix_D5_total,AtMix_D5_total_Col-0,13
Regular_total_Col_14,AtMix,D5,total,Col0,AtMix_D5_total,AtMix_D5_total_Col-0,14
Regular_total_Col_15,AtMix,D5,total,Col0,AtMix_D5_total,AtMix_D5_total_Col-0,15
Regular_total_Col_16,AtMix,D5,total,Col0,AtMix_D5_total,AtMix_D5_total_Col-0,16
Regular_total_cad_1,AtMix,D5,total,cad1,AtMix_D5_total,AtMix_D5_total_cad1,1
Regular_total_cad_2,AtMix,D5,total,cad1,AtMix_D5_total,AtMix_D5_total_cad1,2
Regular_total_cad_3,AtMix,D5,total,cad1,AtMix_D5_total,AtMix_D5_total_cad1,3
Regular_total_cad_4,AtMix,D5,total,cad1,AtMix_D5_total,AtMix_D5_total_cad1,4
Regular_total_cad_5,AtMix,D5,total,cad1,AtMix_D5_total,AtMix_D5_total_cad1,5
Regular_total_cad_6,AtMix,D5,total,cad1,AtMix_D5_total,AtMix_D5_total_cad1,6
Regular_total_cad_7,AtMix,D5,total,cad1,AtMix_D5_total,AtMix_D5_total_cad1,7
Regular_total_cad_8,AtMix,D5,total,cad1,AtMix_D5_total,AtMix_D5_total_cad1,8
Regular_total_cad_9,AtMix,D5,total,cad1,AtMix_D5_total,AtMix_D5_total_cad1,9
Regular_total_cad_10,AtMix,D5,total,cad1,AtMix_D5_total,AtMix_D5_total_cad1,10
Regular_total_cad_11,AtMix,D5,total,cad1,AtMix_D5_total,AtMix_D5_total_cad1,11
Regular_total_cad_12,AtMix,D5,total,cad1,AtMix_D5_total,AtMix_D5_total_cad1,12
Regular_total_cad_13,AtMix,D5,total,cad1,AtMix_D5_total,AtMix_D5_total_cad1,13
Regular_total_cad_14,AtMix,D5,total,cad1,AtMix_D5_total,AtMix_D5_total_cad1,14
Regular_total_cad_15,AtMix,D5,total,cad1,AtMix_D5_total,AtMix_D5_total_cad1,15
Regular_total_cad_16,AtMix,D5,total,cad1,AtMix_D5_total,AtMix_D5_total_cad1,16
Regular_endo_Col_1,AtMix,D5,endosphere,Col0,AtMix_D5_endosphere,AtMix_D5_endosphere_Col-0,1
Regular_endo_Col_2,AtMix,D5,endosphere,Col0,AtMix_D5_endosphere,AtMix_D5_endosphere_Col-0,2
Regular_endo_Col_3,AtMix,D5,endosphere,Col0,AtMix_D5_endosphere,AtMix_D5_endosphere_Col-0,3
Regular_endo_Col_4,AtMix,D5,endosphere,Col0,AtMix_D5_endosphere,AtMix_D5_endosphere_Col-0,4
Regular_endo_Col_5,AtMix,D5,endosphere,Col0,AtMix_D5_endosphere,AtMix_D5_endosphere_Col-0,5
Regular_endo_Col_6,AtMix,D5,endosphere,Col0,AtMix_D5_endosphere,AtMix_D5_endosphere_Col-0,6
Regular_endo_Col_7,AtMix,D5,endosphere,Col0,AtMix_D5_endosphere,AtMix_D5_endosphere_Col-0,7
Regular_endo_Col_8,AtMix,D5,endosphere,Col0,AtMix_D5_endosphere,AtMix_D5_endosphere_Col-0,8
Regular_endo_Col_9,AtMix,D5,endosphere,Col0,AtMix_D5_endosphere,AtMix_D5_endosphere_Col-0,9
Regular_endo_Col_10,AtMix,D5,endosphere,Col0,AtMix_D5_endosphere,AtMix_D5_endosphere_Col-0,10
Regular_endo_Col_11,AtMix,D5,endosphere,Col0,AtMix_D5_endosphere,AtMix_D5_endosphere_Col-0,11
Regular_endo_Col_12,AtMix,D5,endosphere,Col0,AtMix_D5_endosphere,AtMix_D5_endosphere_Col-0,12
Regular_endo_Col_13,AtMix,D5,endosphere,Col0,AtMix_D5_endosphere,AtMix_D5_endosphere_Col-0,13
Regular_endo_Col_14,AtMix,D5,endosphere,Col0,AtMix_D5_endosphere,AtMix_D5_endosphere_Col-0,14
Regular_endo_Col_15,AtMix,D5,endosphere,Col0,AtMix_D5_endosphere,AtMix_D5_endosphere_Col-0,15
Regular_endo_Col_16,AtMix,D5,endosphere,Col0,AtMix_D5_endosphere,AtMix_D5_endosphere_Col-0,16
Regular_endo_cad_1,AtMix,D5,endosphere,cad1,AtMix_D5_endosphere,AtMix_D5_endosphere_cad1,1
Regular_endo_cad_2,AtMix,D5,endosphere,cad1,AtMix_D5_endosphere,AtMix_D5_endosphere_cad1,2
Regular_endo_cad_3,AtMix,D5,endosphere,cad1,AtMix_D5_endosphere,AtMix_D5_endosphere_cad1,3
Regular_endo_cad_4,AtMix,D5,endosphere,cad1,AtMix_D5_endosphere,AtMix_D5_endosphere_cad1,4
Regular_endo_cad_5,AtMix,D5,endosphere,cad1,AtMix_D5_endosphere,AtMix_D5_endosphere_cad1,5
Regular_endo_cad_6,AtMix,D5,endosphere,cad1,AtMix_D5_endosphere,AtMix_D5_endosphere_cad1,6
Regular_endo_cad_7,AtMix,D5,endosphere,cad1,AtMix_D5_endosphere,AtMix_D5_endosphere_cad1,7
Regular_endo_cad_8,AtMix,D5,endosphere,cad1,AtMix_D5_endosphere,AtMix_D5_endosphere_cad1,8
Regular_endo_cad_9,AtMix,D5,endosphere,cad1,AtMix_D5_endosphere,AtMix_D5_endosphere_cad1,9
Regular_endo_cad_10,AtMix,D5,endosphere,cad1,AtMix_D5_endosphere,AtMix_D5_endosphere_cad1,10
Regular_endo_cad_11,AtMix,D5,endosphere,cad1,AtMix_D5_endosphere,AtMix_D5_endosphere_cad1,11
Regular_endo_cad_12,AtMix,D5,endosphere,cad1,AtMix_D5_endosphere,AtMix_D5_endosphere_cad1,12
Regular_endo_cad_13,AtMix,D5,endosphere,cad1,AtMix_D5_endosphere,AtMix_D5_endosphere_cad1,13
Regular_endo_cad_14,AtMix,D5,endosphere,cad1,AtMix_D5_endosphere,AtMix_D5_endosphere_cad1,14
Regular_endo_cad_15,AtMix,D5,endosphere,cad1,AtMix_D5_endosphere,AtMix_D5_endosphere_cad1,15
Regular_endo_cad_16,AtMix,D5,endosphere,cad1,AtMix_D5_endosphere,AtMix_D5_endosphere_cad1,16
Syn_total_Col_1,SynCom,D2,total,Col0,SynCom_D2_total,SynCom_D2_total_Col-0,1
Syn_total_Col_2,SynCom,D2,total,Col0,SynCom_D2_total,SynCom_D2_total_Col-0,2
Syn_total_Col_3,SynCom,D2,total,Col0,SynCom_D2_total,SynCom_D2_total_Col-0,3
Syn_total_Col_4,SynCom,D2,total,Col0,SynCom_D2_total,SynCom_D2_total_Col-0,4
Syn_total_Col_5,SynCom,D2,total,Col0,SynCom_D2_total,SynCom_D2_total_Col-0,5
Syn_total_Col_6,SynCom,D2,total,Col0,SynCom_D2_total,SynCom_D2_total_Col-0,6
Syn_total_Col_7,SynCom,D2,total,Col0,SynCom_D2_total,SynCom_D2_total_Col-0,7
Syn_total_Col_8,SynCom,D2,total,Col0,SynCom_D2_total,SynCom_D2_total_Col-0,8
Syn_total_Col_9,SynCom,D2,total,Col0,SynCom_D2_total,SynCom_D2_total_Col-0,9
Syn_total_Col_10,SynCom,D2,total,Col0,SynCom_D2_total,SynCom_D2_total_Col-0,10
Syn_total_Col_11,SynCom,D2,total,Col0,SynCom_D2_total,SynCom_D2_total_Col-0,11
Syn_total_Col_12,SynCom,D2,total,Col0,SynCom_D2_total,SynCom_D2_total_Col-0,12
Syn_total_Col_13,SynCom,D2,total,Col0,SynCom_D2_total,SynCom_D2_total_Col-0,13
Syn_total_Col_14,SynCom,D2,total,Col0,SynCom_D2_total,SynCom_D2_total_Col-0,14
Syn_total_Col_15,SynCom,D2,total,Col0,SynCom_D2_total,SynCom_D2_total_Col-0,15
Syn_total_Col_16,SynCom,D2,total,Col0,SynCom_D2_total,SynCom_D2_total_Col-0,16
Syn_total_Col_17,SynCom,D2,total,Col0,SynCom_D2_total,SynCom_D2_total_Col-0,17
Syn_total_Col_18,SynCom,D2,total,Col0,SynCom_D2_total,SynCom_D2_total_Col-0,18
Syn_total_Col_19,SynCom,D2,total,Col0,SynCom_D2_total,SynCom_D2_total_Col-0,19
Syn_total_Col_20,SynCom,D2,total,Col0,SynCom_D2_total,SynCom_D2_total_Col-0,20
Syn_total_cad_1,SynCom,D2,total,cad1,SynCom_D2_total,SynCom_D2_total_cad1,1
Syn_total_cad_2,SynCom,D2,total,cad1,SynCom_D2_total,SynCom_D2_total_cad1,2
Syn_total_cad_3,SynCom,D2,total,cad1,SynCom_D2_total,SynCom_D2_total_cad1,3
Syn_total_cad_4,SynCom,D2,total,cad1,SynCom_D2_total,SynCom_D2_total_cad1,4
Syn_total_cad_5,SynCom,D2,total,cad1,SynCom_D2_total,SynCom_D2_total_cad1,5
Syn_total_cad_6,SynCom,D2,total,cad1,SynCom_D2_total,SynCom_D2_total_cad1,6
Syn_total_cad_7,SynCom,D2,total,cad1,SynCom_D2_total,SynCom_D2_total_cad1,7
Syn_total_cad_8,SynCom,D2,total,cad1,SynCom_D2_total,SynCom_D2_total_cad1,8
Syn_total_cad_9,SynCom,D2,total,cad1,SynCom_D2_total,SynCom_D2_total_cad1,9
Syn_total_cad_10,SynCom,D2,total,cad1,SynCom_D2_total,SynCom_D2_total_cad1,10
Syn_total_cad_11,SynCom,D2,total,cad1,SynCom_D2_total,SynCom_D2_total_cad1,11
Syn_total_cad_12,SynCom,D2,total,cad1,SynCom_D2_total,SynCom_D2_total_cad1,12
Syn_total_cad_13,SynCom,D2,total,cad1,SynCom_D2_total,SynCom_D2_total_cad1,13
Syn_total_cad_14,SynCom,D2,total,cad1,SynCom_D2_total,SynCom_D2_total_cad1,14
Syn_total_cad_15,SynCom,D2,total,cad1,SynCom_D2_total,SynCom_D2_total_cad1,15
Syn_total_cad_16,SynCom,D2,total,cad1,SynCom_D2_total,SynCom_D2_total_cad1,16
Syn_total_cad_17,SynCom,D2,total,cad1,SynCom_D2_total,SynCom_D2_total_cad1,17
Syn_total_cad_18,SynCom,D2,total,cad1,SynCom_D2_total,SynCom_D2_total_cad1,18
Syn_total_cad_19,SynCom,D2,total,cad1,SynCom_D2_total,SynCom_D2_total_cad1,19
Syn_total_cad_20,SynCom,D2,total,cad1,SynCom_D2_total,SynCom_D2_total_cad1,20
Syn_endo_Col_1,SynCom,D2,endosphere,Col0,SynCom_D2_endosphere,SynCom_D2_endosphere_Col-0,1
Syn_endo_Col_2,SynCom,D2,endosphere,Col0,SynCom_D2_endosphere,SynCom_D2_endosphere_Col-0,2
Syn_endo_Col_3,SynCom,D2,endosphere,Col0,SynCom_D2_endosphere,SynCom_D2_endosphere_Col-0,3
Syn_endo_Col_4,SynCom,D2,endosphere,Col0,SynCom_D2_endosphere,SynCom_D2_endosphere_Col-0,4
Syn_endo_Col_5,SynCom,D2,endosphere,Col0,SynCom_D2_endosphere,SynCom_D2_endosphere_Col-0,5
Syn_endo_Col_6,SynCom,D2,endosphere,Col0,SynCom_D2_endosphere,SynCom_D2_endosphere_Col-0,6
Syn_endo_Col_7,SynCom,D2,endosphere,Col0,SynCom_D2_endosphere,SynCom_D2_endosphere_Col-0,7
Syn_endo_Col_8,SynCom,D2,endosphere,Col0,SynCom_D2_endosphere,SynCom_D2_endosphere_Col-0,8
Syn_endo_Col_9,SynCom,D2,endosphere,Col0,SynCom_D2_endosphere,SynCom_D2_endosphere_Col-0,9
Syn_endo_Col_10,SynCom,D2,endosphere,Col0,SynCom_D2_endosphere,SynCom_D2_endosphere_Col-0,10
Syn_endo_Col_11,SynCom,D2,endosphere,Col0,SynCom_D2_endosphere,SynCom_D2_endosphere_Col-0,11
Syn_endo_Col_12,SynCom,D2,endosphere,Col0,SynCom_D2_endosphere,SynCom_D2_endosphere_Col-0,12
Syn_endo_Col_13,SynCom,D2,endosphere,Col0,SynCom_D2_endosphere,SynCom_D2_endosphere_Col-0,13
Syn_endo_Col_14,SynCom,D2,endosphere,Col0,SynCom_D2_endosphere,SynCom_D2_endosphere_Col-0,14
Syn_endo_Col_15,SynCom,D2,endosphere,Col0,SynCom_D2_endosphere,SynCom_D2_endosphere_Col-0,15
Syn_endo_Col_16,SynCom,D2,endosphere,Col0,SynCom_D2_endosphere,SynCom_D2_endosphere_Col-0,16
Syn_endo_Col_17,SynCom,D2,endosphere,Col0,SynCom_D2_endosphere,SynCom_D2_endosphere_Col-0,17
Syn_endo_Col_18,SynCom,D2,endosphere,Col0,SynCom_D2_endosphere,SynCom_D2_endosphere_Col-0,18
Syn_endo_Col_19,SynCom,D2,endosphere,Col0,SynCom_D2_endosphere,SynCom_D2_endosphere_Col-0,19
Syn_endo_Col_20,SynCom,D2,endosphere,Col0,SynCom_D2_endosphere,SynCom_D2_endosphere_Col-0,20
Syn_endo_cad_1,SynCom,D2,endosphere,cad1,SynCom_D2_endosphere,SynCom_D2_endosphere_cad1,1
Syn_endo_cad_2,SynCom,D2,endosphere,cad1,SynCom_D2_endosphere,SynCom_D2_endosphere_cad1,2
Syn_endo_cad_3,SynCom,D2,endosphere,cad1,SynCom_D2_endosphere,SynCom_D2_endosphere_cad1,3
Syn_endo_cad_4,SynCom,D2,endosphere,cad1,SynCom_D2_endosphere,SynCom_D2_endosphere_cad1,4
Syn_endo_cad_5,SynCom,D2,endosphere,cad1,SynCom_D2_endosphere,SynCom_D2_endosphere_cad1,5
Syn_endo_cad_6,SynCom,D2,endosphere,cad1,SynCom_D2_endosphere,SynCom_D2_endosphere_cad1,6
Syn_endo_cad_7,SynCom,D2,endosphere,cad1,SynCom_D2_endosphere,SynCom_D2_endosphere_cad1,7
Syn_endo_cad_8,SynCom,D2,endosphere,cad1,SynCom_D2_endosphere,SynCom_D2_endosphere_cad1,8
Syn_endo_cad_9,SynCom,D2,endosphere,cad1,SynCom_D2_endosphere,SynCom_D2_endosphere_cad1,9
Syn_endo_cad_10,SynCom,D2,endosphere,cad1,SynCom_D2_endosphere,SynCom_D2_endosphere_cad1,10
Syn_endo_cad_11,SynCom,D2,endosphere,cad1,SynCom_D2_endosphere,SynCom_D2_endosphere_cad1,11
Syn_endo_cad_12,SynCom,D2,endosphere,cad1,SynCom_D2_endosphere,SynCom_D2_endosphere_cad1,12
Syn_endo_cad_13,SynCom,D2,endosphere,cad1,SynCom_D2_endosphere,SynCom_D2_endosphere_cad1,13
Syn_endo_cad_14,SynCom,D2,endosphere,cad1,SynCom_D2_endosphere,SynCom_D2_endosphere_cad1,14
Syn_endo_cad_15,SynCom,D2,endosphere,cad1,SynCom_D2_endosphere,SynCom_D2_endosphere_cad1,15
Syn_endo_cad_16,SynCom,D2,endosphere,cad1,SynCom_D2_endosphere,SynCom_D2_endosphere_cad1,16
Syn_endo_cad_19,SynCom,D2,endosphere,cad1,SynCom_D2_endosphere,SynCom_D2_endosphere_cad1,17
Syn_endo_cad_21,SynCom,D2,endosphere,cad1,SynCom_D2_endosphere,SynCom_D2_endosphere_cad1,18
Syn_endo_cad_23,SynCom,D2,endosphere,cad1,SynCom_D2_endosphere,SynCom_D2_endosphere_cad1,19
Syn_endo_cad_24,SynCom,D2,endosphere,cad1,SynCom_D2_endosphere,SynCom_D2_endosphere_cad1,20
